date,Unnamed: 0,Country,Track Name,Artist Name,Album Name,Popularity,Release_Date(RAw),Release_Dates,R_Dates,R_Month,R_Year,Markets,Danceability,Acousticness,duration,Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,TSignature,Positiveness,is_explicit,album_cover_url,Parsed_Date,R_Date,R_Day
2025-05-11 00:00:00,0,Global,Standing Next to You,Jung Kook,GOLDEN,91,2023-03-11 00:00:00,11/03/2023,11,Mar,2023,AR,0.711,0.0447,206020,0.809,0,2,0.339,-4.389,0,0.0955,106.017,4,0.816,No,https://open.spotify.com/search/GOLDEN,,,
2025-05-11 00:00:00,1,Global,greedy,Tate McRae,greedy,100,9/15/2023,15/09/2023,15,Sep,2023,AR,0.75,0.256,131872,0.733,0,6,0.114,-3.18,0,0.0319,111.018,1,0.844,No,https://open.spotify.com/search/greedy,2023-09-15 00:00:00,15,Friday
2025-05-11 00:00:00,2,Global,Si No EstÃ¡s,iÃ±igo quintero,Si No EstÃ¡s,99,9/23/2022,23/09/2022,23,Sep,2022,AR,0.537,0.827,184061,0.421,0,5,0.138,-8.72,1,0.0285,98.224,4,0.524,No,https://open.spotify.com/search/Si%20No%20EstÃ¡s,2022-09-23 00:00:00,23,Friday
2025-05-11 00:00:00,3,Global,Seven (feat. Latto) (Explicit Ver.),Jung Kook,GOLDEN,82,2023-03-11 00:00:00,11/03/2023,11,Mar,2023,AR,0.79,0.312,183551,0.831,0,11,0.0797,-4.185,1,0.044,124.987,4,0.872,Yes,https://open.spotify.com/search/GOLDEN,,,
2025-05-11 00:00:00,4,Global,Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,1989 (Taylor's Version),93,10/26/2023,26/10/2023,26,Oct,2023,AR,0.596,0.0504,229478,0.658,0,0,0.127,-7.346,1,0.036,100.012,4,0.176,No,https://open.spotify.com/search/1989%20(Taylor's%20Version),2023-10-26 00:00:00,26,Thursday
2025-05-11 00:00:00,5,Global,PERRO NEGRO,Bad Bunny,nadie sabe lo que va a pasar maÃ±ana,97,10/13/2023,13/10/2023,13,Oct,2023,AR,0.911,0.0887,162768,0.778,0.0000216,5,0.179,-2.248,1,0.262,96.057,4,0.345,No,https://open.spotify.com/search/nadie%20sabe%20lo%20que%20va%20a%20pasar%20maÃ±ana,2023-10-13 00:00:00,13,Friday
2025-05-11 00:00:00,6,Global,Paint The Town Red,Doja Cat,Scarlet,89,9/20/2023,20/09/2023,20,Sep,2023,AR,0.864,0.255,230480,0.556,0.00000385,2,0.112,-7.683,0,0.194,99.974,4,0.726,No,https://open.spotify.com/search/Scarlet,2023-09-20 00:00:00,20,Wednesday
2025-05-11 00:00:00,7,Global,Cruel Summer,Taylor Swift,Lover,99,8/23/2019,23/08/2019,23,Aug,2019,AR,0.552,0.117,178427,0.702,0.0000206,9,0.105,-5.707,1,0.157,169.994,4,0.564,No,https://open.spotify.com/search/Lover,2019-08-23 00:00:00,23,Friday
2025-05-11 00:00:00,8,Global,MONACO,Bad Bunny,nadie sabe lo que va a pasar maÃ±ana,98,10/13/2023,13/10/2023,13,Oct,2023,AR,0.787,0.15,267194,0.621,0.000402,4,0.58,-5.009,0,0.068,139.056,4,0.13,No,https://open.spotify.com/search/nadie%20sabe%20lo%20que%20va%20a%20pasar%20maÃ±ana,2023-10-13 00:00:00,13,Friday
2025-05-11 00:00:00,9,Global,My Love Mine All Mine,Mitski,The Land Is Inhospitable and So Are We,97,9/15/2023,15/09/2023,15,Sep,2023,AR,0.504,0.868,137773,0.308,0.135,9,0.158,-14.958,1,0.0321,113.95,4,0.121,No,https://open.spotify.com/search/The%20Land%20Is%20Inhospitable%20and%20So%20Are%20We,2023-09-15 00:00:00,15,Friday
2025-05-11 00:00:00,10,Global,Strangers,Kenya Grace,Strangers,98,2023-01-09 00:00:00,09/01/2023,9,Jan,2023,AR,0.628,0.701,172965,0.523,0.00274,11,0.219,-8.307,0,0.0946,169.982,4,0.416,No,https://open.spotify.com/search/Strangers,,,
2025-05-11 00:00:00,11,Global,Water,Tyla,Water,95,7/28/2023,28/07/2023,28,Jul,2023,AR,0.673,0.0856,200256,0.722,0,3,0.137,-3.495,0,0.0755,117.187,4,0.519,No,https://open.spotify.com/search/Water,2023-07-28 00:00:00,28,Friday
2025-05-11 00:00:00,12,Global,Now That We Don't Talk (Taylor's Version) (From The Vault),Taylor Swift,1989 (Taylor's Version),91,10/26/2023,26/10/2023,26,Oct,2023,AR,0.793,0.186,146437,0.512,0.0000381,0,0.0889,-9.319,1,0.0338,109.994,4,0.0662,No,https://open.spotify.com/search/1989%20(Taylor's%20Version),2023-10-26 00:00:00,26,Thursday
2025-05-11 00:00:00,13,Global,HARLEY QUINN,Fuerza Regida,Pa las Baby's Y Belikeada,90,10/20/2023,20/10/2023,20,Oct,2023,AR,0.815,0.0277,143327,0.741,0.0183,1,0.219,-6.04,1,0.0569,125.031,4,0.591,No,https://open.spotify.com/search/Pa%20las%20Baby's%20Y%20Belikeada,2023-10-20 00:00:00,20,Friday
2025-05-11 00:00:00,14,Global,3D (feat. Jack Harlow),Jung Kook,3D : The Remixes,89,2023-02-10 00:00:00,10/02/2023,10,Feb,2023,AR,0.853,0.0322,201812,0.824,0,1,0.0859,-3.287,1,0.103,108.044,4,0.888,No,https://open.spotify.com/search/3D%20:%20The%20Remixes,,,
2025-05-11 00:00:00,15,Global,QLONA,KAROL G,MAÃ‘ANA SERÃ BONITO (BICHOTA SEASON),94,2023-10-08 00:00:00,08/10/2023,8,Oct,2023,AR,0.841,0.52,172798,0.738,0,7,0.0892,-7.455,0,0.307,169.918,4,0.484,No,https://open.spotify.com/search/MAÃ‘ANA%20SERÃ%20BONITO%20(BICHOTA%20SEASON),,,
2025-05-11 00:00:00,16,Global,Agora Hills,Doja Cat,Scarlet,82,9/20/2023,20/09/2023,20,Sep,2023,AR,0.755,0.183,265360,0.687,0.000177,8,0.125,-6.247,0,0.101,123.01,4,0.381,No,https://open.spotify.com/search/Scarlet,2023-09-20 00:00:00,20,Wednesday
2025-05-11 00:00:00,17,Global,Que Onda,Calle 24,Que Onda,94,8/30/2023,30/08/2023,30,Aug,2023,AR,0.808,0.183,191467,0.944,0.00000111,10,0.138,-4.863,0,0.0408,124.934,3,0.937,No,https://open.spotify.com/search/Que%20Onda,2023-08-30 00:00:00,30,Wednesday
2025-05-11 00:00:00,18,Global,I Wanna Be Yours,Arctic Monkeys,AM,95,2013-09-09 00:00:00,09/09/2013,9,Sep,2013,AR,0.464,0.136,183956,0.417,0.022,0,0.0974,-9.345,0,0.0256,67.528,4,0.479,No,https://open.spotify.com/search/AM,,,
2025-05-11 00:00:00,19,Global,"""Slut!"" (Taylor's Version) (From The Vault)",Taylor Swift,1989 (Taylor's Version),91,10/26/2023,26/10/2023,26,Oct,2023,AR,0.629,0.345,180381,0.413,0.0000762,7,0.0603,-13.178,1,0.055,77.983,4,0.306,No,https://open.spotify.com/search/1989%20(Taylor's%20Version),2023-10-26 00:00:00,26,Thursday
2025-05-11 00:00:00,20,Global,LALA,Myke Towers,LA VIDA ES UNA,97,3/23/2023,23/03/2023,23,Mar,2023,AR,0.708,0.0739,197920,0.737,0.00162,1,0.0955,-4.045,1,0.0436,91.986,4,0.607,No,https://open.spotify.com/search/LA%20VIDA%20ES%20UNA,2023-03-23 00:00:00,23,Thursday
2025-05-11 00:00:00,21,Global,SegÃºn QuiÃ©n,Maluma,Don Juan,89,8/25/2023,25/08/2023,25,Aug,2023,AR,0.909,0.434,142335,0.762,0,9,0.0856,-3.974,1,0.0643,101.987,3,0.843,No,https://open.spotify.com/search/Don%20Juan,2023-08-25 00:00:00,25,Friday
2025-05-11 00:00:00,22,Global,Lollipop,Darell,EVERYBODY GO TO THE DISCOTEK,95,7/28/2023,28/07/2023,28,Jul,2023,AR,0.822,0.179,199947,0.711,0.0000146,6,0.083,-4.943,1,0.0668,102.984,4,0.934,No,https://open.spotify.com/search/EVERYBODY%20GO%20TO%20THE%20DISCOTEK,2023-07-28 00:00:00,28,Friday
2025-05-11 00:00:00,23,Global,Daylight,David Kushner,Daylight,95,4/14/2023,14/04/2023,14,Apr,2023,AR,0.508,0.83,212954,0.43,0.000441,2,0.093,-9.475,0,0.0335,130.09,4,0.324,No,https://open.spotify.com/search/Daylight,2023-04-14 00:00:00,14,Friday
2025-05-11 00:00:00,24,Global,vampire,Olivia Rodrigo,GUTS,95,2023-08-09 00:00:00,09/08/2023,9,Aug,2023,AR,0.511,0.177,219724,0.532,0,5,0.291,-5.745,1,0.0578,138.005,4,0.35,No,https://open.spotify.com/search/GUTS,,,
2025-05-11 00:00:00,25,Global,As It Was,Harry Styles,Harry's House,95,5/20/2022,20/05/2022,20,May,2022,AR,0.52,0.342,167303,0.731,0.00101,6,0.311,-5.338,0,0.0557,173.93,4,0.662,No,https://open.spotify.com/search/Harry's%20House,2022-05-20 00:00:00,20,Friday
2025-05-11 00:00:00,26,Global,Say Don't Go (Taylor's Version) (From The Vault),Taylor Swift,1989 (Taylor's Version),90,10/26/2023,26/10/2023,26,Oct,2023,AR,0.626,0.0656,279833,0.547,0.0000167,4,0.149,-8.285,1,0.0342,109.946,4,0.192,No,https://open.spotify.com/search/1989%20(Taylor's%20Version),2023-10-26 00:00:00,26,Thursday
2025-05-11 00:00:00,27,Global,Prada,cassÃ¶,Prada,94,2023-11-08 00:00:00,08/11/2023,8,Nov,2023,AR,0.638,0.001,132359,0.717,0.00000179,8,0.113,-5.804,1,0.0375,141.904,4,0.422,No,https://open.spotify.com/search/Prada,,,
2025-05-11 00:00:00,28,Global,Starboy,The Weeknd,Starboy,94,11/25/2016,25/11/2016,25,Nov,2016,AR,0.679,0.141,230453,0.587,0.00000635,7,0.137,-7.015,1,0.276,186.003,4,0.486,No,https://open.spotify.com/search/Starboy,2016-11-25 00:00:00,25,Friday
2025-05-11 00:00:00,29,Global,"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,"What Was I Made For? [From The Motion Picture ""Barbie""]",95,7/13/2023,13/07/2023,13,Jul,2023,AR,0.444,0.959,222370,0.0911,0.00000105,0,0.098,-17.665,1,0.0307,78.403,4,0.142,No,"https://open.spotify.com/search/What%20Was%20I%20Made%20For?%20[From%20The%20Motion%20Picture%20""Barbie""]",2023-07-13 00:00:00,13,Thursday
